cod_upz;nom_upz;cluster;Mobility Injustice Score
1;PASEO DE LOS LIBERTADORES;2;0.717950268
2;LA ACADEMIA;2;0.725682804
3;GUAYMARAL;2;0.765910783
9;VERBENAL;1;0.359780256
10;LA URIBE;1;0.441536649
11;SAN CRISTOBAL NORTE;3;0.393563487
12;TOBERIN;3;0.23618888
13;LOS CEDROS;3;0.310486914
14;USAQUEN;3;0.368463256
15;COUNTRY CLUB;3;0.363383463
16;SANTA BARBARA;4;0.081714649
17;SAN JOSE DE BAVARIA;1;0.409741545
18;BRITALIA;1;0.298467056
19;EL PRADO;1;0.292002249
20;LA ALHAMBRA;3;0.217978904
21;LOS ANDES;3;0.148815833
22;DOCE DE OCTUBRE;3;0.176546366
23;CASA BLANCA SUBA;1;0.447047152
24;NIZA;1;0.387147912
25;LA FLORESTA;1;0.398816833
26;LAS FERIAS;3;0.246113029
27;SUBA;1;0.404900766
28;EL RINCON;1;0.399570472
29;EL MINUTO DE DIOS;1;0.3003184
30;BOYACA REAL;1;0.26149367
31;SANTA CECILIA;1;0.27020605
32;SAN BLAS;1;0.538757492
33;SOSIEGO;3;0.235998191
34;20 DE JULIO;3;0.319249045
35;CIUDAD JARDIN;3;0.179309973
36;SAN JOSE;1;0.283553687
37;SANTA ISABEL;1;0.305571198
38;RESTREPO;3;0.244359606
39;QUIROGA;1;0.282717768
40;CIUDAD MONTES;1;0.293877065
41;MUZU;1;0.268917949
42;VENECIA;1;0.424054401
43;SAN RAFAEL;1;0.313584285
44;AMERICAS;1;0.296416892
45;CARVAJAL;1;0.334752179
46;CASTILLA;1;0.349892795
47;KENNEDY CENTRAL;1;0.317377571
48;TIMIZA;1;0.36573175
49;APOGEO;1;0.437941952
50;LA GLORIA;1;0.51333243
51;LOS LIBERTADORES;1;0.547891203
52;LA FLORA;2;0.729467231
53;MARCO FIDEL SUAREZ;1;0.429615416
54;MARRUECOS;1;0.469424875
55;DIANA TURBAY;1;0.464535166
56;DANUBIO;1;0.554445973
57;GRAN YOMASA;1;0.540031188
58;COMUNEROS;1;0.560795979
59;ALFONSO LOPEZ;1;0.515832608
60;PARQUE ENTRENUBES;2;0.983388642
61;CIUDAD USME;2;0.875581829
62;TUNJUELITO;2;0.616055545
63;EL MOCHUELO;2;0.927701343
64;MONTE BLANCO;2;1
65;ARBORIZADORA;1;0.379668704
66;SAN FRANCISCO;1;0.472550297
67;LUCERO;1;0.562498192
68;EL TESORO;1;0.556180654
69;ISMAEL PERDOMO;1;0.492193324
70;JERUSALEM;2;0.745395904
71;TIBABUYES;1;0.519240791
72;BOLIVIA;1;0.416928426
73;GARCES NAVAS;1;0.410285858
74;ENGATIVA;2;0.596184595
75;FONTIBON;1;0.303487034
76;FONTIBON SAN PABLO;2;0.590940868
77;ZONA FRANCA;2;0.634361125
78;TINTAL NORTE;2;0.713015148
79;CALANDAIMA;1;0.434501763
80;CORABASTOS;1;0.485641273
81;GRAN BRITALIA;1;0.455859889
82;PATIO BONITO;1;0.357706569
83;LAS MARGARITAS;1;0.423977637
84;BOSA OCCIDENTAL;1;0.417994894
85;BOSA CENTRAL;1;0.442040363
86;EL PORVENIR;2;0.586256275
87;TINTAL SUR;2;0.721472787
88;EL REFUGIO;3;0.296641104
89;SAN ISIDRO-PATIOS;2;0.638625799
90;PARDO RUBIO;3;0.355844705
91;SAGRADO CORAZON;4;0.151933016
92;LA MACARENA;3;0.252258276
93;LAS NIEVES;4;0.165536231
94;LA CANDELARIA;4;0.12120639
95;LAS CRUCES;3;0.373636491
96;LOURDES;3;0.462735307
97;CHICO LAGO;4;0.090389987
98;LOS ALCAZARES;4;0.042151839
99;CHAPINERO;4;0.092191047
100;GALERIAS;4;0.023801692
101;TEUSAQUILLO;4;0
102;LA SABANA;4;0.214916886
103;PARQUE EL SALITRE;3;0.352826913
104;PARQUE SIMON BOLIVAR-CAN;3;0.376461761
105;JARDIN BOTANICO;3;0.323281091
106;LA ESMERALDA;3;0.262513023
107;QUINTA PAREDES;3;0.213081221
108;ZONA INDUSTRIAL;3;0.217550642
109;CIUDAD SALITRE ORIENTAL;3;0.253211095
110;CIUDAD SALITRE OCCIDENTAL;3;0.262939742
111;PUENTE ARANDA;1;0.199171183
112;GRANJAS DE TECHO;1;0.456651859
113;BAVARIA;1;0.398594567
114;MODELIA;1;0.341987431
115;CAPELLANIA;3;0.320936588
116;ALAMOS;1;0.354164194
117;AEROPUERTO EL DORADO;2;0.80798272